Account,TaxStatus,Identifier,Sleeve,Action,Shares_Delta,Price,AverageCost,Delta_$,CapGain_$
Fidelity Brokerage,Taxable,SPAXX,Cash,BUY,4697.21,1.0,1.0,4697.21,0.0
Fidelity Brokerage,Taxable,AGG,IG_Core,BUY,673.5,100.18,0.0,67467.84,0.0
Fidelity Brokerage,Taxable,BNDX,IG_Intl_Hedged,BUY,2310.7,49.41,0.0,114173.75,0.0
Fidelity Brokerage,Taxable,91282CCF6,Treasuries,BUY,312.3,98.05,0.0,30625.08,0.0
Fidelity Brokerage,Taxable,SCHV,US_Core,SELL,-11903.1,29.26,0.0,-348284.43,348284.71
Fidelity Brokerage,Taxable,IVW,US_Growth,BUY,692.2,121.06,0.0,83797.01,0.0
Fidelity Brokerage,Taxable,VTV,US_Value,BUY,253.4,187.53,0.0,47523.53,0.0
Fidelity HSA,HSA,SPAXX,Cash,BUY,795.69,1.0,0.0,795.69,0.0
Fidelity HSA,HSA,AGG,IG_Core,BUY,104.3,100.18,0.0,10452.54,0.0
Fidelity HSA,HSA,BNDX,IG_Intl_Hedged,BUY,358.0,49.41,0.0,17688.51,0.0
Fidelity HSA,HSA,91282CCF6,Treasuries,BUY,48.4,98.05,0.0,4744.63,0.0
Fidelity HSA,HSA,SCHV,US_Core,SELL,-1846.4,29.26,0.0,-54026.36,54025.66
Fidelity HSA,HSA,IVW,US_Growth,BUY,107.2,121.06,0.0,12982.35,0.0
Fidelity HSA,HSA,VTV,US_Value,BUY,39.3,187.53,0.0,7362.64,0.0
Schwab Brokerage,Taxable,SPAXX,Cash,BUY,37807.16,1.0,0.0,37807.16,0.0
Schwab Brokerage,Taxable,VWO,EM,SELL,-3998.8,54.79,42.4,-219091.56,49545.13
Schwab Brokerage,Taxable,AGG,IG_Core,SELL,-1543.9,100.18,100.3,-154667.91,-185.27
Schwab Brokerage,Taxable,BNDX,IG_Intl_Hedged,BUY,12459.0,49.41,0.0,615601.14,0.0
Schwab Brokerage,Taxable,91282CCF6,Treasuries,SELL,-6223.5,98.05,95.01,-610218.48,18919.44
Schwab Brokerage,Taxable,SCHV,US_Core,SELL,-4408.7,29.26,0.0,-128998.09,128998.56
Schwab Brokerage,Taxable,IVW,US_Growth,BUY,1679.6,121.06,0.0,203330.75,0.0
Schwab Brokerage,Taxable,VTV,US_Value,BUY,1366.4,187.53,0.0,256236.99,0.0
Vanguard Brokerage,Taxable,SPAXX,Cash,BUY,12981.91,1.0,0.0,12981.91,0.0
Vanguard Brokerage,Taxable,XLE,Energy,SELL,-706.2,88.91,0.0,-62785.0,62788.24
Vanguard Brokerage,Taxable,AGG,IG_Core,BUY,1246.8,100.18,0.0,124909.27,0.0
Vanguard Brokerage,Taxable,BNDX,IG_Intl_Hedged,BUY,2032.1,49.41,48.99,100405.25,0.0
Vanguard Brokerage,Taxable,VPL,Intl_DM,SELL,-2222.1,89.69,72.25,-199302.17,38753.42
Vanguard Brokerage,Taxable,91282CCF6,Treasuries,BUY,578.3,98.05,0.0,56698.95,0.0
Vanguard Brokerage,Taxable,SCHV,US_Core,SELL,-553.8,29.26,0.0,-16203.28,16204.19
Vanguard Brokerage,Taxable,IVW,US_Growth,BUY,559.9,121.06,0.0,67775.94,0.0
Vanguard Brokerage,Taxable,SCHA,US_SmallValue,SELL,-2503.1,28.26,0.0,-70738.46,70737.61
Vanguard Brokerage,Taxable,VTV,US_Value,SELL,-73.3,187.53,0.0,-13742.43,13745.95
Vanguard Roth IRA,ROTH IRA,SPAXX,Cash,BUY,21367.96,1.0,0.0,21367.96,0.0
Vanguard Roth IRA,ROTH IRA,VWO,EM,SELL,-4231.7,54.79,0.0,-231853.42,231854.84
Vanguard Roth IRA,ROTH IRA,VWOB,EM_USD,SELL,-3224.8,66.9,0.0,-215736.18,215739.12
Vanguard Roth IRA,ROTH IRA,AGG,IG_Core,BUY,2052.3,100.18,0.0,205598.09,0.0
Vanguard Roth IRA,ROTH IRA,BNDX,IG_Intl_Hedged,BUY,7041.6,49.41,0.0,347927.3,0.0
Vanguard Roth IRA,ROTH IRA,VPL,Intl_DM,SELL,-1965.8,89.69,0.0,-176309.82,176312.6
Vanguard Roth IRA,ROTH IRA,91282CCF6,Treasuries,BUY,951.8,98.05,0.0,93325.31,0.0
Vanguard Roth IRA,ROTH IRA,SCHV,US_Core,SELL,-15191.3,29.26,0.0,-444498.8,444497.44
Vanguard Roth IRA,ROTH IRA,IVW,US_Growth,BUY,2109.4,121.06,0.0,255358.76,0.0
Vanguard Roth IRA,ROTH IRA,VTV,US_Value,BUY,772.3,187.53,0.0,144820.79,0.0
WING Trust,Trust,SPAXX,Cash,BUY,76348.76,1.0,0.0,76348.76,0.0
WING Trust,Trust,VWO,EM,SELL,-11836.3,54.79,0.0,-648513.03,648510.88
WING Trust,Trust,XLE,Energy,SELL,-3411.7,88.91,83.91,-303337.58,17058.5
WING Trust,Trust,AGG,IG_Core,BUY,7332.9,100.18,0.0,734611.8,0.0
WING Trust,Trust,BNDX,IG_Intl_Hedged,BUY,25160.1,49.41,0.0,1243160.87,0.0
WING Trust,Trust,VPL,Intl_DM,SELL,-3600.4,89.69,0.0,-322921.45,322919.88
WING Trust,Trust,91282CCF6,Treasuries,BUY,3400.9,98.05,0.0,333455.79,0.0
WING Trust,Trust,SCHV,US_Core,SELL,-44170.6,29.26,22.62,-1292432.16,293292.78
WING Trust,Trust,IVW,US_Growth,BUY,959.0,121.06,66.28,116095.79,0.0
WING Trust,Trust,SCHA,US_SmallValue,SELL,-4886.3,28.26,22.66,-138087.62,27363.28
WING Trust,Trust,VTV,US_Value,BUY,1075.1,187.53,146.31,201618.82,0.0
